"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.06078 0.7370 0.7301
0.06097 0.7215 0.7098
0.06116 0.7320 0.7165
0.06135 0.7152 0.7542
0.06154 0.7190 0.7209
0.06172 0.7519 0.7811
0.06191 0.7187 0.7143
0.06210 0.7298 0.7744
0.06229 0.6376 0.6838
0.06248 0.7009 0.7551
0.06266 0.7124 0.7573
0.06285 0.6227 0.6702
0.06304 0.7127 0.7551
0.06323 0.8124 0.8486
0.06342 0.8146 0.8488
0.06361 0.7374 0.7811
0.06379 0.7323 0.7177
0.06398 0.7675 0.7564
0.06417 0.7367 0.7811
0.06436 0.7085 0.7538
0.06455 0.7105 0.7551
0.06473 0.7165 0.7063
0.06492 0.7085 0.7538
0.06511 0.7143 0.7573
0.06530 0.7183 0.7640
0.06549 0.8169 0.8511
0.06568 0.7298 0.7754
0.06586 0.7076 0.7111
0.06605 0.8178 0.8524
0.06624 0.7086 0.7539
0.06643 0.7250 0.7687
0.06662 0.7105 0.7561
0.06680 0.7446 0.7754
0.06699 0.7016 0.7120
0.06718 0.7086 0.7551
0.06737 0.7085 0.7538
0.06756 0.7168 0.7618
0.06775 0.7035 0.7586
0.06793 0.7193 0.7640
0.06812 0.7212 0.7665
0.06831 0.7484 0.7785
0.06850 0.7092 0.7653
0.06869 0.7124 0.7561
0.06887 0.7212 0.6908
0.06906 0.7412 0.7732
0.06925 0.7475 0.7785
0.06944 0.7510 0.7824
0.06963 0.7152 0.7608
0.06982 0.7868 0.8260
0.07000 0.8102 0.8476
0.07019 0.7133 0.7586
0.07038 0.7196 0.7652
0.07057 0.7998 0.8375
0.07076 0.7240 0.7247
0.07094 0.7092 0.7548
0.07113 0.7184 0.7643
0.07132 0.7332 0.7785
0.07151 0.7063 0.7621
0.07170 0.7912 0.8362
0.07189 0.8318 0.8638
0.07207 0.7165 0.7627
0.07226 0.7190 0.7630
0.07245 0.7171 0.7643
0.07264 0.7925 0.7719
0.07283 0.8286 0.8612
0.07301 0.7215 0.7675
0.07320 0.7088 0.7551
0.07339 0.6528 0.6997
0.07358 0.7402 0.7415
0.07377 0.7377 0.7763
0.07396 0.7348 0.7789
0.07414 0.7215 0.6917
0.07433 0.7127 0.7596
0.07452 0.7155 0.7608
0.07471 0.7155 0.7605
0.07490 0.7567 0.7855
0.07508 0.7719 0.8039
0.07527 0.7636 0.7887
0.07546 0.7105 0.7573
0.07565 0.7136 0.7595
0.07584 0.7355 0.7643
0.07603 0.7675 0.7855
0.07621 0.7516 0.7969
0.07640 0.8340 0.8657
0.07659 0.7190 0.7653
0.07678 0.7114 0.7573
0.07697 0.7342 0.7371
0.07715 0.7522 0.7472
0.07734 0.7032 0.7063
0.07753 0.7605 0.8026
0.07772 0.7098 0.7570
0.07791 0.7124 0.7586
0.07810 0.6541 0.7006
0.07828 0.8299 0.8660
0.07847 0.7649 0.7922
0.07866 0.7218 0.7133
0.07885 0.7602 0.7798
0.07904 0.7497 0.7824
0.07922 0.7722 0.8026
0.07941 0.7269 0.7380
0.07960 0.7092 0.7560
0.07979 0.7459 0.7732
0.07998 0.7374 0.7336
0.08017 0.7183 0.7754
0.08035 0.7716 0.7846
0.08054 0.7921 0.8216
0.08073 0.7101 0.7573
0.08092 0.7152 0.7605
0.08111 0.7120 0.7598
0.08129 0.7532 0.7843
0.08148 0.7440 0.7402
0.08167 0.7497 0.7833
0.08186 0.7529 0.7960
0.08205 0.7386 0.7358
0.08224 0.7276 0.7732
0.08242 0.7355 0.7811
0.08261 0.7624 0.7944
0.08280 0.7922 0.8264
0.08299 0.7596 0.7934
0.08318 0.7912 0.8343
0.08336 0.7621 0.7412
0.08355 0.7706 0.8016
0.08374 0.7120 0.7570
0.08393 0.7136 0.7621
0.08412 0.7621 0.7155
0.08431 0.7120 0.7596
0.08449 0.7551 0.8013
0.08468 0.7155 0.7618
0.08487 0.7681 0.7640
0.08506 0.7209 0.7766
0.08525 0.7209 0.7605
0.08543 0.7348 0.7630
0.08562 0.7180 0.7665
0.08581 0.7219 0.7776
0.08600 0.7462 0.7899
0.08619 0.7573 0.7596
0.08638 0.7171 0.7643
0.08656 0.7649 0.7538
0.08675 0.7428 0.7798
0.08694 0.7615 0.7665
0.08713 0.7453 0.7899
0.08732 0.7510 0.7957
0.08750 0.7228 0.7595
0.08769 0.7203 0.7596
0.08788 0.7364 0.7630
0.08807 0.7383 0.7665
0.08826 0.7393 0.7662
0.08845 0.7351 0.7719
0.08863 0.7367 0.7710
0.08882 0.7497 0.7820
0.08901 0.8400 0.8761
0.08920 0.7586 0.7969
0.08939 0.7402 0.7675
0.08957 0.7649 0.7991
0.08976 0.7634 0.7957
0.08995 0.8438 0.8770
0.09014 0.7162 0.7155
0.09033 0.8172 0.8581
0.09052 0.6661 0.7142
0.09070 0.8413 0.8761
0.09089 0.7621 0.7595
0.09108 0.7165 0.7653
0.09127 0.7203 0.7675
0.09146 0.7532 0.7494
0.09164 0.7558 0.7187
0.09183 0.7355 0.7653
0.09202 0.7183 0.7665
0.09221 0.7478 0.7808
0.09240 0.7114 0.7586
0.09259 0.7038 0.6183
0.09277 0.7532 0.7843
0.09296 0.7117 0.7595
0.09315 0.7361 0.7630
0.09334 0.7561 0.7881
0.09353 0.7326 0.7706
0.09371 0.7228 0.7697
0.09390 0.7557 0.7573
0.09409 0.7203 0.7621
0.09428 0.7152 0.7596
0.09447 0.7206 0.7605
0.09466 0.7152 0.7608
0.09484 0.7171 0.7617
0.09503 0.7168 0.7618
0.09522 0.7171 0.7630
0.09541 0.7234 0.7630
0.09560 0.7247 0.7627
0.09578 0.8150 0.8546
0.09597 0.7709 0.7991
0.09616 0.7219 0.7665
0.09635 0.7247 0.7731
0.09654 0.7348 0.7649
0.09673 0.7944 0.8356
0.09691 0.7830 0.8124
0.09710 0.7640 0.7247
0.09729 0.7637 0.7551
0.09748 0.7377 0.7652
0.09767 0.7279 0.7596
0.09785 0.7773 0.8102
0.09804 0.7285 0.7618
0.09823 0.7127 0.7586
0.09842 0.7139 0.7595
0.09861 0.7282 0.7618
0.09880 0.7231 0.7617
0.09898 0.7162 0.6196
0.09917 0.7234 0.7618
0.09936 0.7291 0.7766
0.09955 0.7152 0.7605
0.09974 0.7146 0.7608
0.09992 0.7168 0.7617
0.10011 0.7326 0.7789
0.10030 0.7934 0.7899
0.10049 0.7909 0.8194
0.10068 0.7212 0.7665
0.10087 0.7573 0.8001
0.10105 0.8273 0.8669
0.10124 0.7130 0.7586
0.10143 0.7117 0.7583
0.10162 0.7130 0.7586
0.10181 0.7133 0.7583
0.10199 0.7133 0.7608
0.10218 0.7139 0.7596
0.10237 0.7180 0.7665
0.10256 0.8498 0.8837
0.10275 0.7117 0.7573
0.10294 0.7127 0.7586
0.10312 0.7120 0.7583
0.10331 0.7126 0.7586
0.10350 0.7146 0.7605
