"number" "dsum" "count" "missing" "quant_error" "fname"
40 2615.68 5308 4260 0.00152143 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Calidris.melanotos_BowenIsland_100m.tif"
41 3532.98 5308 4260 0.000519923 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Calidris.minutilla_BowenIsland_100m.tif"
42 3481.78 5308 4260 3.17578e-05 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Calypte.anna_BowenIsland_100m.tif"
43 4800.33 5308 4260 0.00286992 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cardellina.pusilla_BowenIsland_100m.tif"
44 3548.13 5308 4260 0.00248836 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Carduelis.flammea_BowenIsland_100m.tif"
45 4681.26 5308 4260 0.00107003 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Carduelis.pinus_BowenIsland_100m.tif"
46 4024.84 5308 4260 8.31093e-05 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Carduelis.tristis_BowenIsland_100m.tif"
47 4921.6 5308 4260 0.00465376 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Carpodacus.mexicanus_BowenIsland_100m.tif"
48 4684.8 5308 4260 0.00142384 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Carpodacus.purpureus_BowenIsland_100m.tif"
49 4865.54 5308 4260 0.00228881 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cathartes.aura_BowenIsland_100m.tif"
50 4797.37 5308 4260 0.00289642 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Catharus.guttatus_BowenIsland_100m.tif"
51 4867.42 5308 4260 0.00306922 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Catharus.ustulatus_BowenIsland_100m.tif"
52 4930.46 5308 4260 0.00621041 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cepphus.columba_BowenIsland_100m.tif"
53 3788.68 5308 4260 0.00207578 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cerorhinca.monocerata_BowenIsland_100m.tif"
54 4983.3 5308 4260 0.000105467 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Certhia.americana_BowenIsland_100m.tif"
55 4917.34 5308 4260 0.00113783 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Chaetura.vauxi_BowenIsland_100m.tif"
